
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Niveau de réchauffement régional (RWL) :2.0°C
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle sur la période autour du niveau de réchauffement 
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
11441;47.0989;-4.6813;RWL-20;nan
11584;47.1706;-4.6907;RWL-20;nan
11727;47.2422;-4.7001;RWL-20;nan
11870;47.3139;-4.7096;RWL-20;nan
12013;47.3856;-4.7191;RWL-20;nan
12156;47.4573;-4.7286;RWL-20;nan
12299;47.5289;-4.7381;RWL-20;nan
12442;47.6006;-4.7477;RWL-20;nan
12585;47.6723;-4.7573;RWL-20;nan
12728;47.7439;-4.7669;RWL-20;nan
12871;47.8156;-4.7766;RWL-20;nan
13014;47.8872;-4.7862;RWL-20;nan
13157;47.9589;-4.7959;RWL-20;nan
13300;48.0305;-4.8056;RWL-20;nan
13443;48.1022;-4.8154;RWL-20;nan
13586;48.1738;-4.8252;RWL-20;nan
13729;48.2454;-4.835;RWL-20;nan
13872;48.3171;-4.8448;RWL-20;nan
14015;48.3887;-4.8546;RWL-20;nan
14158;48.4603;-4.8645;RWL-20;nan
14301;48.5319;-4.8744;RWL-20;nan
14444;48.6035;-4.8844;RWL-20;nan
14587;48.6751;-4.8943;RWL-20;nan
14730;48.7467;-4.9043;RWL-20;nan
14873;48.8183;-4.9143;RWL-20;nan
15016;48.8899;-4.9244;RWL-20;nan
15159;48.9615;-4.9344;RWL-20;nan
15302;49.0331;-4.9445;RWL-20;nan
15445;49.1047;-4.9547;RWL-20;nan
15588;49.1763;-4.9648;RWL-20;nan
15731;49.2478;-4.975;RWL-20;nan
15874;49.3194;-4.9852;RWL-20;nan
16017;49.3909;-4.9955;RWL-20;nan
16160;49.4625;-5.0057;RWL-20;nan
16303;49.534;-5.016;RWL-20;nan
16446;49.6056;-5.0264;RWL-20;nan
16589;49.6771;-5.0367;RWL-20;nan
16732;49.7486;-5.0471;RWL-20;nan
16875;49.8201;-5.0575;RWL-20;nan
17018;49.8917;-5.068;RWL-20;nan
17161;49.9632;-5.0784;RWL-20;nan
17304;50.0347;-5.089;RWL-20;nan
17447;50.1061;-5.0995;RWL-20;nan
17590;50.1776;-5.11;RWL-20;nan
17733;50.2491;-5.1206;RWL-20;nan
17876;50.3206;-5.1313;RWL-20;nan
18019;50.392;-5.1419;RWL-20;nan
18162;50.4635;-5.1526;RWL-20;nan
18305;50.5349;-5.1633;RWL-20;nan
18448;50.6064;-5.1741;RWL-20;nan
18591;50.6778;-5.1848;RWL-20;nan
18734;50.7492;-5.1956;RWL-20;nan
18877;50.8206;-5.2065;RWL-20;nan
19020;50.8921;-5.2174;RWL-20;nan
2;41.3729;-3.9071;RWL-20;nan
145;41.4444;-3.9147;RWL-20;nan
288;41.5159;-3.9223;RWL-20;nan
431;41.5875;-3.9299;RWL-20;nan
574;41.659;-3.9375;RWL-20;nan
717;41.7305;-3.9451;RWL-20;nan
860;41.8021;-3.9528;RWL-20;nan
1003;41.8736;-3.9605;RWL-20;nan
1146;41.9451;-3.9681;RWL-20;nan
1289;42.0167;-3.9759;RWL-20;nan
1432;42.0883;-3.9836;RWL-20;nan
1575;42.1598;-3.9913;RWL-20;nan
1718;42.2314;-3.9991;RWL-20;nan
1861;42.303;-4.0069;RWL-20;nan
2004;42.3746;-4.0147;RWL-20;nan
2147;42.4461;-4.0225;RWL-20;nan
2290;42.5177;-4.0304;RWL-20;nan
2433;42.5893;-4.0383;RWL-20;nan
2576;42.6609;-4.0461;RWL-20;nan
2719;42.7325;-4.0541;RWL-20;nan
2862;42.8042;-4.062;RWL-20;nan
3005;42.8758;-4.0699;RWL-20;nan
3148;42.9474;-4.0779;RWL-20;nan
3291;43.019;-4.0859;RWL-20;nan
3434;43.0907;-4.0939;RWL-20;nan
3577;43.1623;-4.1019;RWL-20;nan
3720;43.2339;-4.11;RWL-20;nan
3863;43.3056;-4.118;RWL-20;nan
4006;43.3772;-4.1261;RWL-20;nan
4149;43.4489;-4.1342;RWL-20;nan
4292;43.5205;-4.1423;RWL-20;nan
4435;43.5922;-4.1505;RWL-20;nan
4578;43.6638;-4.1586;RWL-20;nan
4721;43.7355;-4.1668;RWL-20;nan
4864;43.8072;-4.175;RWL-20;nan
5007;43.8788;-4.1833;RWL-20;nan
5150;43.9505;-4.1915;RWL-20;nan
5293;44.0222;-4.1998;RWL-20;nan
5436;44.0938;-4.2081;RWL-20;nan
5579;44.1655;-4.2164;RWL-20;nan
5722;44.2372;-4.2247;RWL-20;nan
5865;44.3089;-4.2331;RWL-20;nan
6008;44.3806;-4.2415;RWL-20;nan
6151;44.4523;-4.2499;RWL-20;nan
6294;44.524;-4.2583;RWL-20;nan
6437;44.5957;-4.2667;RWL-20;nan
6580;44.6673;-4.2752;RWL-20;nan
6723;44.739;-4.2837;RWL-20;nan
6866;44.8107;-4.2922;RWL-20;nan
7009;44.8824;-4.3007;RWL-20;nan
7152;44.9541;-4.3092;RWL-20;nan
7295;45.0258;-4.3178;RWL-20;nan
7438;45.0975;-4.3264;RWL-20;nan
7581;45.1693;-4.335;RWL-20;nan
7724;45.241;-4.3436;RWL-20;nan
7867;45.3127;-4.3523;RWL-20;nan
8010;45.3844;-4.361;RWL-20;nan
8153;45.4561;-4.3697;RWL-20;nan
8296;45.5278;-4.3784;RWL-20;nan
8439;45.5995;-4.3872;RWL-20;nan
8582;45.6712;-4.3959;RWL-20;nan
8725;45.7429;-4.4047;RWL-20;nan
8868;45.8146;-4.4136;RWL-20;nan
9011;45.8863;-4.4224;RWL-20;nan
9154;45.958;-4.4313;RWL-20;nan
9297;46.0297;-4.4401;RWL-20;nan
9440;46.1015;-4.4491;RWL-20;nan
9583;46.1732;-4.458;RWL-20;nan
9726;46.2449;-4.467;RWL-20;nan
9869;46.3166;-4.4759;RWL-20;nan
10012;46.3883;-4.4849;RWL-20;nan
10155;46.46;-4.494;RWL-20;nan
10298;46.5317;-4.503;RWL-20;nan
10441;46.6034;-4.5121;RWL-20;nan
10584;46.6751;-4.5212;RWL-20;nan
10727;46.7468;-4.5303;RWL-20;nan
10870;46.8185;-4.5395;RWL-20;nan
11013;46.8902;-4.5486;RWL-20;nan
11156;46.9619;-4.5578;RWL-20;nan
11299;47.0336;-4.5671;RWL-20;nan
11442;47.1053;-4.5763;RWL-20;nan
11585;47.1769;-4.5856;RWL-20;nan
11728;47.2486;-4.5949;RWL-20;nan
11871;47.3203;-4.6042;RWL-20;nan
12014;47.392;-4.6135;RWL-20;nan
12157;47.4637;-4.6229;RWL-20;nan
12300;47.5353;-4.6323;RWL-20;nan
12443;47.607;-4.6417;RWL-20;nan
12586;47.6787;-4.6512;RWL-20;nan
12729;47.7504;-4.6607;RWL-20;nan
