
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Historique : 1976-2005
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
13157;47.9589;-4.7959;REF;nan
13300;48.0305;-4.8056;REF;nan
13443;48.1022;-4.8154;REF;nan
13586;48.1738;-4.8252;REF;nan
13729;48.2454;-4.835;REF;nan
13872;48.3171;-4.8448;REF;nan
14015;48.3887;-4.8546;REF;nan
14158;48.4603;-4.8645;REF;nan
14301;48.5319;-4.8744;REF;nan
14444;48.6035;-4.8844;REF;nan
14587;48.6751;-4.8943;REF;nan
14730;48.7467;-4.9043;REF;nan
14873;48.8183;-4.9143;REF;nan
15016;48.8899;-4.9244;REF;nan
15159;48.9615;-4.9344;REF;nan
15302;49.0331;-4.9445;REF;nan
15445;49.1047;-4.9547;REF;nan
15588;49.1763;-4.9648;REF;nan
15731;49.2478;-4.975;REF;nan
15874;49.3194;-4.9852;REF;nan
16017;49.3909;-4.9955;REF;nan
16160;49.4625;-5.0057;REF;nan
16303;49.534;-5.016;REF;nan
16446;49.6056;-5.0264;REF;nan
16589;49.6771;-5.0367;REF;nan
16732;49.7486;-5.0471;REF;nan
16875;49.8201;-5.0575;REF;nan
17018;49.8917;-5.068;REF;nan
17161;49.9632;-5.0784;REF;nan
17304;50.0347;-5.089;REF;nan
17447;50.1061;-5.0995;REF;nan
17590;50.1776;-5.11;REF;nan
17733;50.2491;-5.1206;REF;nan
17876;50.3206;-5.1313;REF;nan
18019;50.392;-5.1419;REF;nan
18162;50.4635;-5.1526;REF;nan
18305;50.5349;-5.1633;REF;nan
18448;50.6064;-5.1741;REF;nan
18591;50.6778;-5.1848;REF;nan
18734;50.7492;-5.1956;REF;nan
18877;50.8206;-5.2065;REF;nan
19020;50.8921;-5.2174;REF;nan
2;41.3729;-3.9071;REF;nan
145;41.4444;-3.9147;REF;nan
288;41.5159;-3.9223;REF;nan
431;41.5875;-3.9299;REF;nan
574;41.659;-3.9375;REF;nan
717;41.7305;-3.9451;REF;nan
860;41.8021;-3.9528;REF;nan
1003;41.8736;-3.9605;REF;nan
1146;41.9451;-3.9681;REF;nan
1289;42.0167;-3.9759;REF;nan
1432;42.0883;-3.9836;REF;nan
1575;42.1598;-3.9913;REF;nan
1718;42.2314;-3.9991;REF;nan
1861;42.303;-4.0069;REF;nan
2004;42.3746;-4.0147;REF;nan
2147;42.4461;-4.0225;REF;nan
2290;42.5177;-4.0304;REF;nan
2433;42.5893;-4.0383;REF;nan
2576;42.6609;-4.0461;REF;nan
2719;42.7325;-4.0541;REF;nan
2862;42.8042;-4.062;REF;nan
3005;42.8758;-4.0699;REF;nan
3148;42.9474;-4.0779;REF;nan
3291;43.019;-4.0859;REF;nan
3434;43.0907;-4.0939;REF;nan
3577;43.1623;-4.1019;REF;nan
3720;43.2339;-4.11;REF;nan
3863;43.3056;-4.118;REF;nan
4006;43.3772;-4.1261;REF;nan
4149;43.4489;-4.1342;REF;nan
4292;43.5205;-4.1423;REF;nan
4435;43.5922;-4.1505;REF;nan
4578;43.6638;-4.1586;REF;nan
4721;43.7355;-4.1668;REF;nan
4864;43.8072;-4.175;REF;nan
5007;43.8788;-4.1833;REF;nan
5150;43.9505;-4.1915;REF;nan
5293;44.0222;-4.1998;REF;nan
5436;44.0938;-4.2081;REF;nan
5579;44.1655;-4.2164;REF;nan
5722;44.2372;-4.2247;REF;nan
5865;44.3089;-4.2331;REF;nan
6008;44.3806;-4.2415;REF;nan
6151;44.4523;-4.2499;REF;nan
6294;44.524;-4.2583;REF;nan
6437;44.5957;-4.2667;REF;nan
6580;44.6673;-4.2752;REF;nan
6723;44.739;-4.2837;REF;nan
6866;44.8107;-4.2922;REF;nan
7009;44.8824;-4.3007;REF;nan
7152;44.9541;-4.3092;REF;nan
7295;45.0258;-4.3178;REF;nan
7438;45.0975;-4.3264;REF;nan
7581;45.1693;-4.335;REF;nan
7724;45.241;-4.3436;REF;nan
7867;45.3127;-4.3523;REF;nan
8010;45.3844;-4.361;REF;nan
8153;45.4561;-4.3697;REF;nan
8296;45.5278;-4.3784;REF;nan
8439;45.5995;-4.3872;REF;nan
8582;45.6712;-4.3959;REF;nan
8725;45.7429;-4.4047;REF;nan
8868;45.8146;-4.4136;REF;nan
9011;45.8863;-4.4224;REF;nan
9154;45.958;-4.4313;REF;nan
9297;46.0297;-4.4401;REF;nan
9440;46.1015;-4.4491;REF;nan
9583;46.1732;-4.458;REF;nan
9726;46.2449;-4.467;REF;nan
9869;46.3166;-4.4759;REF;nan
10012;46.3883;-4.4849;REF;nan
10155;46.46;-4.494;REF;nan
10298;46.5317;-4.503;REF;nan
10441;46.6034;-4.5121;REF;nan
10584;46.6751;-4.5212;REF;nan
10727;46.7468;-4.5303;REF;nan
10870;46.8185;-4.5395;REF;nan
11013;46.8902;-4.5486;REF;nan
11156;46.9619;-4.5578;REF;nan
11299;47.0336;-4.5671;REF;nan
11442;47.1053;-4.5763;REF;nan
11585;47.1769;-4.5856;REF;nan
11728;47.2486;-4.5949;REF;nan
11871;47.3203;-4.6042;REF;nan
12014;47.392;-4.6135;REF;nan
12157;47.4637;-4.6229;REF;nan
12300;47.5353;-4.6323;REF;nan
12443;47.607;-4.6417;REF;nan
12586;47.6787;-4.6512;REF;nan
12729;47.7504;-4.6607;REF;nan
12872;47.822;-4.6702;REF;nan
13015;47.8937;-4.6797;REF;nan
13158;47.9653;-4.6892;REF;nan
13301;48.037;-4.6988;REF;19.31
13444;48.1086;-4.7084;REF;nan
13587;48.1803;-4.718;REF;nan
13730;48.2519;-4.7277;REF;nan
13873;48.3236;-4.7374;REF;19.09
14016;48.3952;-4.7471;REF;21.21
14159;48.4668;-4.7568;REF;21.02
14302;48.5385;-4.7666;REF;21.3
14445;48.6101;-4.7764;REF;nan
14588;48.6817;-4.7862;REF;nan
14731;48.7533;-4.796;REF;nan
14874;48.8249;-4.8059;REF;nan
15017;48.8965;-4.8158;REF;nan
15160;48.9681;-4.8257;REF;nan
15303;49.0397;-4.8357;REF;nan
15446;49.1113;-4.8456;REF;nan
15589;49.1829;-4.8557;REF;nan
15732;49.2544;-4.8657;REF;nan
15875;49.326;-4.8757;REF;nan
16018;49.3976;-4.8858;REF;nan
16161;49.4691;-4.896;REF;nan
16304;49.5407;-4.9061;REF;nan
16447;49.6122;-4.9163;REF;nan
16590;49.6838;-4.9265;REF;nan
16733;49.7553;-4.9367;REF;nan
16876;49.8268;-4.947;REF;nan
17019;49.8984;-4.9573;REF;nan
17162;49.9699;-4.9676;REF;nan
17305;50.0414;-4.9779;REF;nan
17448;50.1129;-4.9883;REF;nan
17591;50.1844;-4.9987;REF;nan
17734;50.2559;-5.0092;REF;nan
17877;50.3273;-5.0196;REF;nan
18020;50.3988;-5.0301;REF;nan
18163;50.4703;-5.0407;REF;nan
18306;50.5417;-5.0512;REF;nan
18449;50.6132;-5.0618;REF;nan
18592;50.6846;-5.0724;REF;nan
18735;50.756;-5.0831;REF;nan
18878;50.8275;-5.0937;REF;nan
19021;50.8989;-5.1044;REF;nan
3;41.3786;-3.8122;REF;nan
146;41.4501;-3.8196;REF;nan
289;41.5216;-3.8271;REF;nan
432;41.5931;-3.8346;REF;nan
575;41.6647;-3.8421;REF;nan
718;41.7362;-3.8496;REF;nan
861;41.8077;-3.8572;REF;nan
1004;41.8793;-3.8647;REF;nan
1147;41.9509;-3.8723;REF;nan
1290;42.0224;-3.8799;REF;nan
1433;42.094;-3.8875;REF;nan
1576;42.1656;-3.8951;REF;nan
1719;42.2371;-3.9028;REF;nan
1862;42.3087;-3.9105;REF;nan
2005;42.3803;-3.9182;REF;nan
2148;42.4519;-3.9259;REF;nan
2291;42.5235;-3.9336;REF;nan
2434;42.5951;-3.9414;REF;nan
2577;42.6667;-3.9491;REF;nan
2720;42.7383;-3.9569;REF;nan
2863;42.81;-3.9647;REF;nan
3006;42.8816;-3.9725;REF;nan
3149;42.9532;-3.9804;REF;nan
3292;43.0248;-3.9883;REF;nan
3435;43.0965;-3.9961;REF;nan
3578;43.1681;-4.004;REF;nan
3721;43.2398;-4.012;REF;nan
3864;43.3114;-4.0199;REF;nan
4007;43.3831;-4.0279;REF;nan
4150;43.4547;-4.0359;REF;nan
4293;43.5264;-4.0439;REF;nan
4436;43.5981;-4.0519;REF;nan
4579;43.6697;-4.0599;REF;nan
4722;43.7414;-4.068;REF;nan
4865;43.8131;-4.0761;REF;nan
5008;43.8847;-4.0842;REF;nan
5151;43.9564;-4.0923;REF;nan
5294;44.0281;-4.1004;REF;nan
5437;44.0998;-4.1086;REF;nan
5580;44.1715;-4.1168;REF;nan
5723;44.2432;-4.125;REF;nan
5866;44.3149;-4.1332;REF;nan
6009;44.3865;-4.1415;REF;nan
6152;44.4582;-4.1498;REF;nan
6295;44.5299;-4.158;REF;nan
6438;44.6016;-4.1664;REF;nan
6581;44.6733;-4.1747;REF;nan
6724;44.7451;-4.183;REF;nan
6867;44.8168;-4.1914;REF;nan
7010;44.8885;-4.1998;REF;nan
7153;44.9602;-4.2082;REF;nan
7296;45.0319;-4.2167;REF;nan
7439;45.1036;-4.2251;REF;nan
7582;45.1753;-4.2336;REF;nan
7725;45.247;-4.2421;REF;nan
7868;45.3187;-4.2507;REF;nan
8011;45.3905;-4.2592;REF;nan
8154;45.4622;-4.2678;REF;nan
8297;45.5339;-4.2764;REF;nan
8440;45.6056;-4.285;REF;nan
8583;45.6773;-4.2936;REF;nan
8726;45.749;-4.3023;REF;nan
8869;45.8207;-4.311;REF;nan
9012;45.8925;-4.3197;REF;nan
9155;45.9642;-4.3284;REF;nan
9298;46.0359;-4.3372;REF;nan
9441;46.1076;-4.346;REF;nan
9584;46.1793;-4.3548;REF;nan
9727;46.251;-4.3636;REF;nan
9870;46.3228;-4.3724;REF;nan
10013;46.3945;-4.3813;REF;nan
10156;46.4662;-4.3902;REF;nan
10299;46.5379;-4.3991;REF;nan
10442;46.6096;-4.4081;REF;nan
10585;46.6813;-4.417;REF;nan
10728;46.753;-4.426;REF;nan
10871;46.8247;-4.435;REF;nan
11014;46.8964;-4.4441;REF;nan
11157;46.9681;-4.4531;REF;nan
11300;47.0398;-4.4622;REF;nan
11443;47.1115;-4.4713;REF;nan
11586;47.1832;-4.4804;REF;nan
11729;47.2549;-4.4896;REF;nan
11872;47.3266;-4.4988;REF;nan
12015;47.3983;-4.508;REF;nan
12158;47.47;-4.5172;REF;nan
12301;47.5417;-4.5265;REF;nan
12444;47.6134;-4.5357;REF;nan
12587;47.685;-4.5451;REF;nan
12730;47.7567;-4.5544;REF;nan
12873;47.8284;-4.5637;REF;nan
13016;47.9;-4.5731;REF;nan
13159;47.9717;-4.5825;REF;19.07
13302;48.0434;-4.592;REF;19.51
13445;48.115;-4.6014;REF;nan
13588;48.1867;-4.6109;REF;nan
13731;48.2583;-4.6204;REF;19.07
13874;48.33;-4.6299;REF;19.15
14017;48.4016;-4.6395;REF;24.08
14160;48.4733;-4.6491;REF;21.39
14303;48.5449;-4.6587;REF;21.72
14446;48.6165;-4.6684;REF;nan
14589;48.6882;-4.678;REF;nan
14732;48.7598;-4.6877;REF;nan
14875;48.8314;-4.6974;REF;nan
15018;48.903;-4.7072;REF;nan
15161;48.9746;-4.717;REF;nan
15304;49.0462;-4.7268;REF;nan
15447;49.1178;-4.7366;REF;nan
15590;49.1894;-4.7464;REF;nan
15733;49.261;-4.7563;REF;nan
15876;49.3326;-4.7662;REF;nan
16019;49.4041;-4.7762;REF;nan
16162;49.4757;-4.7861;REF;nan
16305;49.5473;-4.7961;REF;nan
16448;49.6188;-4.8062;REF;nan
16591;49.6904;-4.8162;REF;nan
16734;49.7619;-4.8263;REF;nan
16877;49.8334;-4.8364;REF;nan
17020;49.905;-4.8465;REF;nan
17163;49.9765;-4.8567;REF;nan
17306;50.048;-4.8669;REF;nan
17449;50.1195;-4.8771;REF;nan
17592;50.191;-4.8874;REF;nan
17735;50.2625;-4.8977;REF;nan
17878;50.334;-4.908;REF;nan
18021;50.4055;-4.9183;REF;nan
18164;50.4769;-4.9287;REF;nan
18307;50.5484;-4.9391;REF;nan
18450;50.6199;-4.9495;REF;nan
18593;50.6913;-4.96;REF;nan
18736;50.7628;-4.9704;REF;nan
18879;50.8342;-4.981;REF;nan
19022;50.9056;-4.9915;REF;nan
4;41.3841;-3.7172;REF;nan
147;41.4557;-3.7246;REF;nan
